[2020-10-26 15:51:37.857242] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 0, 'wagonEnd': True, 'tank1': 32, 'valveTank1': True, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': False, 'valveTankFinal': False, 'silo1': 8, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:True, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:10, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:38.858731] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 0, 'wagonEnd': True, 'tank1': 30, 'valveTank1': True, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': False, 'valveTankFinal': False, 'silo1': 10, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:True, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:10, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:39.864592] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 0, 'wagonEnd': True, 'tank1': 28, 'valveTank1': True, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': False, 'valveTankFinal': False, 'silo1': 12, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:True, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:10, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:40.843054] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 0, 'wagonEnd': True, 'tank1': 26, 'valveTank1': True, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': False, 'valveTankFinal': False, 'silo1': 14, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:True, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:10, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:41.853875] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 0, 'wagonEnd': True, 'tank1': 24, 'valveTank1': True, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': False, 'valveTankFinal': False, 'silo1': 16, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:True, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:10, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

