[2020-10-22 19:24:52.136648] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 0, 'wagonEnd': True, 'tank1': 38, 'valveTank1': True, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': False, 'valveTankFinal': False, 'silo1': 2, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:True, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:10, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-22 19:24:53.141298] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 0, 'wagonEnd': True, 'tank1': 36, 'valveTank1': True, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': False, 'valveTankFinal': False, 'silo1': 4, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:True, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:10, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-22 19:24:54.142202] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 0, 'wagonEnd': True, 'tank1': 34, 'valveTank1': True, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': False, 'valveTankFinal': False, 'silo1': 6, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:True, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:10, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-22 19:24:55.137206] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 0, 'wagonEnd': True, 'tank1': 32, 'valveTank1': True, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': False, 'valveTankFinal': False, 'silo1': 8, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:True, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:10, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-22 19:24:56.170108] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 0, 'wagonEnd': True, 'tank1': 30, 'valveTank1': True, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': False, 'valveTankFinal': False, 'silo1': 10, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:True, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:10, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

